object_name,clip_ds_score,editing_prompt
chair_104_cyberpunk,0.2661,"a cyberpunk chair, made of dark chrome and glowing purple circuits"
couch_8_wooden,0.0823,"a cozy couch, made of warm, natural oak wood with a smooth finish"
couch_2_yellow,0.2336,a yellow couch
table_2_claymation,0.0522,"a charming claymation table, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
chair_4_ghibli,0.1157,"a chair in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
chair_5_ghibli,0.1788,"a chair in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
chair_102_glass,0.1112,"a sleek, modern chair, made of translucent frosted glass with minimalist design"
table_101_claymation,0.0656,"a charming claymation table, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
cabinet_4_art_deco,0.1006,"a luxurious art deco style cabinet, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
shelf_101_glass,0.1314,"a sleek, modern shelf, made of translucent frosted glass with minimalist design"
table_102_cyberpunk,0.1812,"a cyberpunk table, made of dark chrome and glowing purple circuits"
chair_7_yellow,0.1741,a yellow chair
table_102_medieval,-0.1317,"an ornate medieval-style table, crafted from dark heavy wood and wrought iron details"
chair_104_steampunk,0.0515,"a masterpiece steampunk chair, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
chair_101_glass,0.1567,"a sleek, modern chair, made of translucent frosted glass with minimalist design"
chair_102_medieval,0.0900,"an ornate medieval-style chair, crafted from dark heavy wood and wrought iron details"
table_1_medieval,-0.0300,"an ornate medieval-style table, crafted from dark heavy wood and wrought iron details"
table_4_steampunk,0.1917,"a masterpiece steampunk table, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
cabinet_1_cyberpunk,0.2791,"a cyberpunk cabinet, made of dark chrome and glowing purple circuits"
couch_103_claymation,0.0524,"a charming claymation couch, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
chair_6_wooden,0.0464,"a cozy chair, made of warm, natural oak wood with a smooth finish"
couch_103_yellow,0.2801,a yellow couch
chair_107_wooden,0.1919,"a cozy chair, made of warm, natural oak wood with a smooth finish"
table_3_bioluminescent,0.0987,"a magical table made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
table_1_ghibli,0.0689,"a table in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
couch_5_art_deco,0.0875,"a luxurious art deco style couch, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
table_103_art_deco,0.0976,"a luxurious art deco style table, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
chair_5_art_deco,0.2250,"a luxurious art deco style chair, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
table_107_bioluminescent,0.1029,"a magical table made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
chair_107_bioluminescent,0.1923,"a magical chair made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
couch_105_glass,0.0033,"a sleek, modern couch, made of translucent frosted glass with minimalist design"
table_1_art_deco,-0.0061,"a luxurious art deco style table, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
chair_6_medieval,-0.0647,"an ornate medieval-style chair, crafted from dark heavy wood and wrought iron details"
cabinet_104_cyberpunk,0.2012,"a cyberpunk cabinet, made of dark chrome and glowing purple circuits"
table_5_ghibli,0.1101,"a table in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
chair_103_medieval,-0.0049,"an ornate medieval-style chair, crafted from dark heavy wood and wrought iron details"
table_103_yellow,0.1784,a yellow table
table_104_cyberpunk,0.0822,"a cyberpunk table, made of dark chrome and glowing purple circuits"
couch_105_ghibli,0.1066,"a couch in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
shelf_101_medieval,0.0127,"an ornate medieval-style shelf, crafted from dark heavy wood and wrought iron details"
couch_103_glass,0.0743,"a sleek, modern couch, made of translucent frosted glass with minimalist design"
table_106_bioluminescent,0.1738,"a magical table made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
chair_106_medieval,0.0830,"an ornate medieval-style chair, crafted from dark heavy wood and wrought iron details"
couch_6_yellow,0.3702,a yellow couch
cabinet_104_ghibli,0.0180,"a cabinet in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
chair_4_wooden,0.2014,"a cozy chair, made of warm, natural oak wood with a smooth finish"
couch_3_ghibli,0.1185,"a couch in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
couch_7_medieval,-0.0184,"an ornate medieval-style couch, crafted from dark heavy wood and wrought iron details"
couch_3_yellow,0.3178,a yellow couch
cabinet_3_art_deco,0.0510,"a luxurious art deco style cabinet, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
table_5_medieval,0.1479,"an ornate medieval-style table, crafted from dark heavy wood and wrought iron details"
shelf_101_ghibli,-0.0728,"a shelf in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
couch_1_cyberpunk,0.2287,"a cyberpunk couch, made of dark chrome and glowing purple circuits"
table_6_art_deco,0.1203,"a luxurious art deco style table, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
couch_3_art_deco,0.2494,"a luxurious art deco style couch, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
chair_103_ghibli,0.0313,"a chair in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
couch_105_yellow,0.2701,a yellow couch
bed_1_claymation,0.0326,"a charming claymation bed, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
chair_2_ghibli,0.0009,"a chair in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
cabinet_103_cyberpunk,0.1864,"a cyberpunk cabinet, made of dark chrome and glowing purple circuits"
table_6_claymation,0.0242,"a charming claymation table, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
bed_101_art_deco,0.0249,"a luxurious art deco style bed, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
chair_2_glass,-0.0154,"a sleek, modern chair, made of translucent frosted glass with minimalist design"
couch_1_medieval,0.0541,"an ornate medieval-style couch, crafted from dark heavy wood and wrought iron details"
table_101_art_deco,0.0800,"a luxurious art deco style table, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
chair_7_steampunk,-0.0061,"a masterpiece steampunk chair, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
table_4_art_deco,0.1132,"a luxurious art deco style table, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
chair_101_yellow,0.2578,a yellow chair
bed_102_yellow,0.1710,a yellow bed
chair_101_bioluminescent,0.2134,"a magical chair made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
chair_6_claymation,0.1075,"a charming claymation chair, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
table_2_ghibli,0.0668,"a table in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
cabinet_2_steampunk,0.0981,"a masterpiece steampunk cabinet, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
table_102_claymation,-0.0134,"a charming claymation table, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
table_8_steampunk,0.0976,"a masterpiece steampunk table, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
cabinet_104_steampunk,0.0962,"a masterpiece steampunk cabinet, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
table_106_glass,0.2104,"a sleek, modern table, made of translucent frosted glass with minimalist design"
cabinet_2_wooden,-0.0107,"a cozy cabinet, made of warm, natural oak wood with a smooth finish"
table_2_glass,0.1600,"a sleek, modern table, made of translucent frosted glass with minimalist design"
chair_105_cyberpunk,0.1973,"a cyberpunk chair, made of dark chrome and glowing purple circuits"
couch_5_yellow,0.2769,a yellow couch
couch_4_medieval,0.0525,"an ornate medieval-style couch, crafted from dark heavy wood and wrought iron details"
couch_4_ghibli,0.0501,"a couch in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
table_2_cyberpunk,0.3014,"a cyberpunk table, made of dark chrome and glowing purple circuits"
table_106_art_deco,0.1613,"a luxurious art deco style table, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
table_4_claymation,0.0938,"a charming claymation table, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
cabinet_2_art_deco,0.1929,"a luxurious art deco style cabinet, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
couch_2_art_deco,0.1609,"a luxurious art deco style couch, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
table_4_medieval,0.0506,"an ornate medieval-style table, crafted from dark heavy wood and wrought iron details"
chair_102_claymation,0.1287,"a charming claymation chair, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
cabinet_104_glass,0.1486,"a sleek, modern cabinet, made of translucent frosted glass with minimalist design"
cabinet_104_medieval,0.0830,"an ornate medieval-style cabinet, crafted from dark heavy wood and wrought iron details"
couch_5_steampunk,0.1012,"a masterpiece steampunk couch, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
couch_2_glass,0.0596,"a sleek, modern couch, made of translucent frosted glass with minimalist design"
chair_2_medieval,-0.0678,"an ornate medieval-style chair, crafted from dark heavy wood and wrought iron details"
table_104_art_deco,0.0412,"a luxurious art deco style table, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
cabinet_101_art_deco,0.1323,"a luxurious art deco style cabinet, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
table_101_yellow,0.1942,a yellow table
table_6_medieval,0.0344,"an ornate medieval-style table, crafted from dark heavy wood and wrought iron details"
cabinet_101_steampunk,0.0581,"a masterpiece steampunk cabinet, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
chair_105_claymation,0.0238,"a charming claymation chair, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
cabinet_102_bioluminescent,0.0730,"a magical cabinet made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
couch_102_steampunk,0.1442,"a masterpiece steampunk couch, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
chair_104_art_deco,0.2425,"a luxurious art deco style chair, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
chair_3_art_deco,0.1039,"a luxurious art deco style chair, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
chair_6_art_deco,0.1176,"a luxurious art deco style chair, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
couch_9_claymation,0.0905,"a charming claymation couch, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
couch_2_medieval,0.0531,"an ornate medieval-style couch, crafted from dark heavy wood and wrought iron details"
table_102_ghibli,0.1046,"a table in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
couch_8_medieval,0.0728,"an ornate medieval-style couch, crafted from dark heavy wood and wrought iron details"
couch_102_art_deco,0.0975,"a luxurious art deco style couch, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
cabinet_102_yellow,0.0309,a yellow cabinet
table_2_bioluminescent,0.1097,"a magical table made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
cabinet_102_claymation,-0.0045,"a charming claymation cabinet, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
chair_103_cyberpunk,0.1631,"a cyberpunk chair, made of dark chrome and glowing purple circuits"
table_103_wooden,0.0643,"a cozy table, made of warm, natural oak wood with a smooth finish"
table_7_glass,0.1926,"a sleek, modern table, made of translucent frosted glass with minimalist design"
couch_7_claymation,0.0402,"a charming claymation couch, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
table_4_wooden,0.1030,"a cozy table, made of warm, natural oak wood with a smooth finish"
cabinet_1_claymation,0.1598,"a charming claymation cabinet, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
table_7_wooden,0.0484,"a cozy table, made of warm, natural oak wood with a smooth finish"
bed_1_ghibli,-0.0767,"a bed in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
couch_5_medieval,0.0962,"an ornate medieval-style couch, crafted from dark heavy wood and wrought iron details"
chair_1_yellow,0.3000,a yellow chair
bed_101_bioluminescent,-0.0204,"a magical bed made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
couch_103_medieval,0.1478,"an ornate medieval-style couch, crafted from dark heavy wood and wrought iron details"
table_3_ghibli,0.0898,"a table in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
bed_102_cyberpunk,0.2516,"a cyberpunk bed, made of dark chrome and glowing purple circuits"
couch_7_glass,0.0618,"a sleek, modern couch, made of translucent frosted glass with minimalist design"
bed_102_claymation,-0.0064,"a charming claymation bed, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
couch_2_steampunk,0.1532,"a masterpiece steampunk couch, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
table_5_cyberpunk,0.1247,"a cyberpunk table, made of dark chrome and glowing purple circuits"
couch_1_glass,0.0937,"a sleek, modern couch, made of translucent frosted glass with minimalist design"
table_105_art_deco,0.1724,"a luxurious art deco style table, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
couch_1_claymation,0.0805,"a charming claymation couch, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
table_107_steampunk,0.1544,"a masterpiece steampunk table, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
couch_104_cyberpunk,0.0959,"a cyberpunk couch, made of dark chrome and glowing purple circuits"
table_3_wooden,-0.0542,"a cozy table, made of warm, natural oak wood with a smooth finish"
chair_4_medieval,0.1639,"an ornate medieval-style chair, crafted from dark heavy wood and wrought iron details"
table_1_yellow,0.1383,a yellow table
cabinet_2_bioluminescent,0.1856,"a magical cabinet made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
couch_4_bioluminescent,0.1388,"a magical couch made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
table_5_bioluminescent,0.1051,"a magical table made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
cabinet_4_ghibli,0.0315,"a cabinet in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
couch_8_claymation,0.0735,"a charming claymation couch, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
chair_4_bioluminescent,0.0601,"a magical chair made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
table_104_claymation,0.0692,"a charming claymation table, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
chair_105_bioluminescent,0.0664,"a magical chair made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
cabinet_4_steampunk,0.0476,"a masterpiece steampunk cabinet, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
table_107_claymation,0.1006,"a charming claymation table, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
cabinet_1_yellow,0.2419,a yellow cabinet
table_6_yellow,0.1472,a yellow table
chair_1_ghibli,0.1039,"a chair in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
cabinet_102_ghibli,0.0526,"a cabinet in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
cabinet_2_glass,0.2172,"a sleek, modern cabinet, made of translucent frosted glass with minimalist design"
couch_6_cyberpunk,0.2070,"a cyberpunk couch, made of dark chrome and glowing purple circuits"
table_7_bioluminescent,0.2522,"a magical table made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
bed_1_yellow,0.1741,a yellow bed
couch_101_claymation,0.0960,"a charming claymation couch, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
table_8_wooden,-0.0265,"a cozy table, made of warm, natural oak wood with a smooth finish"
chair_6_glass,0.0554,"a sleek, modern chair, made of translucent frosted glass with minimalist design"
shelf_101_steampunk,0.0538,"a masterpiece steampunk shelf, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
couch_103_cyberpunk,0.2092,"a cyberpunk couch, made of dark chrome and glowing purple circuits"
cabinet_104_bioluminescent,0.1908,"a magical cabinet made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
couch_4_claymation,0.1187,"a charming claymation couch, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
cabinet_3_claymation,0.0816,"a charming claymation cabinet, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
table_5_claymation,0.1028,"a charming claymation table, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
couch_4_glass,0.0550,"a sleek, modern couch, made of translucent frosted glass with minimalist design"
couch_105_art_deco,0.1465,"a luxurious art deco style couch, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
table_103_ghibli,0.1205,"a table in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
couch_102_bioluminescent,0.1725,"a magical couch made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
cabinet_103_bioluminescent,0.2188,"a magical cabinet made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
couch_103_bioluminescent,0.1083,"a magical couch made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
chair_6_cyberpunk,0.1073,"a cyberpunk chair, made of dark chrome and glowing purple circuits"
table_4_yellow,0.2131,a yellow table
bed_1_medieval,-0.0130,"an ornate medieval-style bed, crafted from dark heavy wood and wrought iron details"
chair_3_medieval,0.0950,"an ornate medieval-style chair, crafted from dark heavy wood and wrought iron details"
couch_7_yellow,0.2432,a yellow couch
cabinet_102_cyberpunk,0.1350,"a cyberpunk cabinet, made of dark chrome and glowing purple circuits"
chair_1_art_deco,0.2663,"a luxurious art deco style chair, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
table_3_claymation,0.0314,"a charming claymation table, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
couch_101_art_deco,0.1541,"a luxurious art deco style couch, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
table_105_steampunk,0.1726,"a masterpiece steampunk table, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
chair_105_art_deco,0.0678,"a luxurious art deco style chair, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
couch_102_claymation,0.0528,"a charming claymation couch, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
couch_104_glass,-0.0212,"a sleek, modern couch, made of translucent frosted glass with minimalist design"
couch_101_steampunk,0.1840,"a masterpiece steampunk couch, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
cabinet_3_bioluminescent,0.1258,"a magical cabinet made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
table_1_bioluminescent,0.0941,"a magical table made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
chair_2_wooden,-0.0048,"a cozy chair, made of warm, natural oak wood with a smooth finish"
bed_2_cyberpunk,0.2254,"a cyberpunk bed, made of dark chrome and glowing purple circuits"
shelf_101_wooden,-0.0008,"a cozy shelf, made of warm, natural oak wood with a smooth finish"
chair_105_yellow,0.1449,a yellow chair
couch_5_claymation,0.1186,"a charming claymation couch, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
bed_2_claymation,0.1870,"a charming claymation bed, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
couch_5_bioluminescent,0.0569,"a magical couch made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
couch_1_art_deco,0.1853,"a luxurious art deco style couch, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
bed_2_bioluminescent,0.1739,"a magical bed made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
chair_101_claymation,0.0419,"a charming claymation chair, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
cabinet_101_ghibli,0.0821,"a cabinet in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
cabinet_102_wooden,-0.0134,"a cozy cabinet, made of warm, natural oak wood with a smooth finish"
table_107_cyberpunk,0.2042,"a cyberpunk table, made of dark chrome and glowing purple circuits"
couch_4_art_deco,0.0545,"a luxurious art deco style couch, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
couch_4_wooden,0.0043,"a cozy couch, made of warm, natural oak wood with a smooth finish"
couch_3_medieval,0.0311,"an ornate medieval-style couch, crafted from dark heavy wood and wrought iron details"
cabinet_3_glass,0.1707,"a sleek, modern cabinet, made of translucent frosted glass with minimalist design"
shelf_101_claymation,-0.0445,"a charming claymation shelf, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
chair_2_cyberpunk,0.1103,"a cyberpunk chair, made of dark chrome and glowing purple circuits"
bed_101_cyberpunk,0.1439,"a cyberpunk bed, made of dark chrome and glowing purple circuits"
chair_4_art_deco,0.1808,"a luxurious art deco style chair, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
table_101_steampunk,0.0633,"a masterpiece steampunk table, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
chair_107_medieval,0.1794,"an ornate medieval-style chair, crafted from dark heavy wood and wrought iron details"
cabinet_3_yellow,0.2461,a yellow cabinet
couch_101_cyberpunk,0.2251,"a cyberpunk couch, made of dark chrome and glowing purple circuits"
chair_1_wooden,0.2138,"a cozy chair, made of warm, natural oak wood with a smooth finish"
cabinet_1_ghibli,0.1659,"a cabinet in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
chair_102_steampunk,0.2235,"a masterpiece steampunk chair, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
chair_3_bioluminescent,0.1450,"a magical chair made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
couch_5_ghibli,0.0902,"a couch in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
table_3_glass,-0.0473,"a sleek, modern table, made of translucent frosted glass with minimalist design"
cabinet_101_glass,0.0356,"a sleek, modern cabinet, made of translucent frosted glass with minimalist design"
table_102_steampunk,0.0187,"a masterpiece steampunk table, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
table_3_art_deco,0.0852,"a luxurious art deco style table, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
table_106_cyberpunk,0.2108,"a cyberpunk table, made of dark chrome and glowing purple circuits"
chair_7_art_deco,0.0952,"a luxurious art deco style chair, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
table_107_art_deco,0.0415,"a luxurious art deco style table, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
couch_105_medieval,0.1530,"an ornate medieval-style couch, crafted from dark heavy wood and wrought iron details"
chair_107_claymation,0.1029,"a charming claymation chair, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
bed_102_wooden,-0.0639,"a cozy bed, made of warm, natural oak wood with a smooth finish"
